table_name	table_info	table_path	err_ds	err_hour	table_time	project	workflow	task	table_type	person_in_charge	flag	update_type
idata_dws.t_dws_board_staytime_d	影响p0核心8点基线表产出-APP停留时长	/warehouse/idata_dws.db/t_dws_board_staytime_d	1	07	05:44	t_dws_board_read_d			无	郭金	1	d
idata_dws.t_dws_board_staytime_sc_d	影响p0核心8点基线表产出	/warehouse/idata_dws.db/t_dws_board_staytime_sc_d	1	07	05:36				无	郭金	1	d
idata_dws.t_dws_invest_dau_d	影响bmh核心8点基线产出-投放中心-dau	/warehouse/idata_dws.db/t_dws_invest_dau_d	1	07	06:12	t_dws_invest_dau_d		p0结果表	掌阅-p0-结果表	张涵	1	d
idata_dws.t_dws_invest_djspeed_draw_d	影响bmh核心8点基线产出	/warehouse/idata_dws.db/t_dws_invest_djspeed_draw_d	1	07	05:49	t_dwd_invest_user_active_pool_d		p0结果表	掌阅-p0-结果表	张涵	1	d
idata_dws.t_dws_invest_nature_d	影响bmh核心8点基线产出	/warehouse/idata_dws.db/t_dws_invest_nature_d	1	08	06:27			p0结果表	掌阅-p0-结果表	张涵	1	d
idata_dws.t_dws_invest_new_retain_pre_d	影响bmh核心8点基线产出-bmh_投放留存预计算节点	/warehouse/idata_dws.db/t_dws_invest_new_retain_pre_d	1	07	05:53	t_dwd_invest_user_active_pool_d			无	张涵	1	d
idata_dws.t_dws_invest_retain_v2_d	影响bmh核心8点基线产出	/warehouse/idata_dws.db/t_dws_invest_retain_v2_d	1	07	05:52	t_dwd_invest_user_active_pool_d		p0结果表	掌阅-p0-结果表	张涵	1	d
idata_dws.t_dws_invest_user_read_d	影响bmh核心8点基线产出	/warehouse/idata_dws.db/t_dws_invest_user_read_d	1	07	06:12	t_dws_invest_user_read_d		p0结果表	掌阅-p0-结果表	张涵	1	d
idata_dws.t_dws_invest_user_read_overview_d	影响bmh核心8点基线产出	/warehouse/idata_dws.db/t_dws_invest_user_read_overview_d	1	08	06:40	t_dws_invest_user_read_overview_d		p0结果表	掌阅-p0-结果表	张涵	1	d
idata_dws.t_dws_invest_user_read_retain_d	影响bmh核心8点基线产出	/warehouse/idata_dws.db/t_dws_invest_user_read_retain_d	1	08	06:35	t_dws_invest_user_read_retain_d		p0结果表	掌阅-p0-结果表	张涵	1	d
idata_dws.t_dws_midu_cps_ad_data_income_v2_d	影响cps核心8点基线产出-秘读cps广告数据	/warehouse/idata_dws.db/t_dws_midu_cps_ad_data_income_v2_d	1	07	05:44	t_dws_midu_cps_ad_data_income_v2_d		p0结果表	掌阅-p0-结果表	张涵	1	d
idata_dws.t_dws_midu_cps_recycle_d	影响cps核心8点基线产出-追读 cps 回收数据	/warehouse/idata_dws.db/t_dws_midu_cps_recycle_d	retain_ds=1	06	04:45	秘读回收数据	无	无	无	张涵	1	d
idata_dws.t_dws_midu_cps_recycle_retained_pv_d	影响cps核心8点基线产出-追读 cps 回收数据-广告pv	/warehouse/idata_dws.db/t_dws_midu_cps_recycle_retained_pv_d	retain_ds=1	03	02:07	秘读366天留存计算	无	无	无	张涵	1	d
idata_dws.t_dws_midu_cps_summary_data_d	影响cps核心8点基线产出-秘读cps汇总数据	/warehouse/idata_dws.db/t_dws_midu_cps_summary_data_d	1	07	05:30	t_dws_midu_cps_summary_data_d		p0结果表	掌阅-p0-结果表	张涵	1	d
idata_dws.t_dws_ovh_dau_d	影响bmh核心8点基线产出	/warehouse/idata_dws.db/t_dws_ovh_dau_d	1	07	05:29	dw_idata	t_dwd_ovh_user_active_pool_d	p0结果表	掌阅-p0-结果表	张涵	2_1	d
idata_dws.t_dws_ovh_new_user_retain_d	影响bmh核心8点基线产出	/warehouse/idata_dws.db/t_dws_ovh_new_user_retain_d	1	07	05:29	t_dwd_ovh_user_active_pool_d		p0结果表	掌阅-p0-结果表	张涵	1	d
idata_dws.t_dws_sukan_income_overview_board_d	影响p0核心8点基线表产出-速看--收入概览看板数据	/warehouse/idata_dws.db/t_dws_sukan_income_overview_board_d	2	01	23:47	t_dws_sukan_income_overview_board_d			无	郭金	1	d
idata_dws.t_dws_vip_book_cate_amount_v2_d	影响p0核心8点基线表产出	/warehouse/idata_dws.db/t_dws_vip_book_cate_amount_v2_d	1	07	05:32	t_ads_vip_book_cate_v2_d			无	郭金	1	d
idata_dws.t_dws_vip_book_cate_user_v2_d	影响p0核心8点基线表产出	/warehouse/idata_dws.db/t_dws_vip_book_cate_user_v2_d	1	07	05:28	t_ads_vip_book_cate_v2_d			无	郭金	1	d
idata_dws.t_dws_vip_book_statement_v2_d	影响p0核心8点基线表产出	/warehouse/idata_dws.db/t_dws_vip_book_statement_v2_d	1	06	04:37	t_dws_vip_book_statement_v2_d			无	郭金	1	d
idata_ods.ods_sensors_event_all_distinct_h	神策日志模型，业务线分区	/warehouse/idata_ods.db/ods_sensors_event_all_distinct_h	3	3		dw_dj	无	无	得间-p0-	李志伟	1	h
idata_ods.t_ods_actual_newlead_h	影响p0核心小时表产出	/warehouse/idata_ods.db/t_ods_actual_newlead_h	2	2		dw_idata	basic_to_ods_other_h			郭金	1	h
